;1997 week:Ê1;1997 week:Ê2;1997 week:Ê3;1997 week:Ê4;1997 week:Ê5;1997 week:Ê6;1997 week:Ê7;1997 week:Ê8;1997 week:Ê9;1997 week:Ê10;1997 week:Ê11;1997 week:Ê12;1997 week:Ê13;1997 week:Ê36;1997 week:Ê38;1997 week:Ê40;1997 week:Ê41;1997 week:Ê42;1997 week:Ê43;1997 week:Ê44;1997 week:Ê45;1997 week:Ê46;1997 week:Ê48;1997 week:Ê49;1997 week:Ê50;1998 week:Ê1;1998 week:Ê2;1998 week:Ê3;1998 week:Ê5;1998 week:Ê9;1998 week:Ê10;1998 week:Ê11;1998 week:Ê12;1998 week:Ê13;1998 week:Ê14;1998 week:Ê15;1998 week:Ê40;1998 week:Ê41;1998 week:Ê42;1998 week:Ê43;1998 week:Ê44;1998 week:Ê45;1998 week:Ê46;1998 week:Ê47;1998 week:Ê48;1998 week:Ê49;1998 week:Ê50;1998 week:Ê51;1998 week:Ê52;1999 week:Ê1;1999 week:Ê2;1999 week:Ê3;1999 week:Ê4;1999 week:Ê5;1999 week:Ê6;1999 week:Ê7;1999 week:Ê8;1999 week:Ê9;1999 week:Ê10;1999 week:Ê11;1999 week:Ê12;1999 week:Ê13;1999 week:Ê14;1999 week:Ê15;1999 week:Ê16;1999 week:Ê17;1999 week:Ê18;1999 week:Ê19;1999 week:Ê39;1999 week:Ê40;1999 week:Ê41;1999 week:Ê42;1999 week:Ê43;1999 week:Ê44;1999 week:Ê45;1999 week:Ê46;1999 week:Ê47;1999 week:Ê48;1999 week:Ê49;1999 week:Ê50;1999 week:Ê51;1999 week:Ê52;2000 week:Ê1;2000 week:Ê2;2000 week:Ê3;2000 week:Ê4;2000 week:Ê5;2000 week:Ê6;2000 week:Ê7;2000 week:Ê8;2000 week:Ê9;2000 week:Ê10;2000 week:Ê11;2000 week:Ê12;2000 week:Ê13;2000 week:Ê14;2000 week:Ê15;2000 week:Ê16;2000 week:Ê17;2000 week:Ê18;2000 week:Ê19;2000 week:Ê20;2000 week:Ê21;2000 week:Ê22;2000 week:Ê23;2000 week:Ê40;2000 week:Ê41;2000 week:Ê42;2000 week:Ê43;2000 week:Ê44;2000 week:Ê45;2000 week:Ê46;2000 week:Ê47;2000 week:Ê48;2000 week:Ê49;2000 week:Ê50;2000 week:Ê51;2000 week:Ê53;2001 week:Ê1;2001 week:Ê2;2001 week:Ê3;2001 week:Ê4;2001 week:Ê5;2001 week:Ê6;2001 week:Ê7;2001 week:Ê8;2001 week:Ê9;2001 week:Ê10;2001 week:Ê11;2001 week:Ê12;2001 week:Ê13;2001 week:Ê14;2001 week:Ê15;2001 week:Ê16;2001 week:Ê17;2001 week:Ê18;2001 week:Ê19;2001 week:Ê39;2001 week:Ê40;2001 week:Ê41;2001 week:Ê42;2001 week:Ê43;2001 week:Ê44;2001 week:Ê45;2001 week:Ê46;2001 week:Ê47;2001 week:Ê48;2001 week:Ê49;2001 week:Ê50;2001 week:Ê51;2001 week:Ê52;2002 week:Ê1;2002 week:Ê2;2002 week:Ê3;2002 week:Ê4;2002 week:Ê5;2002 week:Ê6;2002 week:Ê7;2002 week:Ê8;2002 week:Ê9;2002 week:Ê10;2002 week:Ê11;2002 week:Ê12;2002 week:Ê13;2002 week:Ê14;2002 week:Ê15;2002 week:Ê16;2002 week:Ê17;2002 week:Ê18;2002 week:Ê19;2002 week:Ê20;2002 week:Ê21;2002 week:Ê22;2002 week:Ê23;2002 week:Ê24;2002 week:Ê25;2002 week:Ê26;2002 week:Ê27;2002 week:Ê28;2002 week:Ê29;2002 week:Ê30;2002 week:Ê31;2002 week:Ê32;2002 week:Ê33;2002 week:Ê34;2002 week:Ê35;2002 week:Ê36;2002 week:Ê37;2002 week:Ê38;2002 week:Ê39;2002 week:Ê40;2002 week:Ê41;2002 week:Ê42;2002 week:Ê43;2002 week:Ê44;2002 week:Ê45;2002 week:Ê46;2002 week:Ê47;2002 week:Ê48;2002 week:Ê49;2002 week:Ê50;2002 week:Ê51;2002 week:Ê52;2003 week:Ê1;2003 week:Ê2;2003 week:Ê3;2003 week:Ê4;2003 week:Ê5;2003 week:Ê6;2003 week:Ê7;2003 week:Ê8;2003 week:Ê9;2003 week:Ê10;2003 week:Ê11;2003 week:Ê12;2003 week:Ê13;2003 week:Ê14;2003 week:Ê15;2003 week:Ê16;2003 week:Ê17;2003 week:Ê18;2003 week:Ê19;2003 week:Ê20;2003 week:Ê21;2003 week:Ê22;2003 week:Ê23;2003 week:Ê24;2003 week:Ê25;2003 week:Ê26;2003 week:Ê27;2003 week:Ê29;2003 week:Ê40;2003 week:Ê41;2003 week:Ê42;2003 week:Ê43;2003 week:Ê44;2003 week:Ê45;2003 week:Ê46;2003 week:Ê47;2003 week:Ê48;2003 week:Ê49;2003 week:Ê50;2003 week:Ê51;2003 week:Ê52;2004 week:Ê1;2004 week:Ê2;2004 week:Ê3;2004 week:Ê4;2004 week:Ê5;2004 week:Ê6;2004 week:Ê7;2004 week:Ê8;2004 week:Ê9;2004 week:Ê10;2004 week:Ê11;2004 week:Ê12;2004 week:Ê13;2004 week:Ê14;2004 week:Ê15;2004 week:Ê16;2004 week:Ê17;2004 week:Ê18;2004 week:Ê19;2004 week:Ê20;2004 week:Ê21;2004 week:Ê22;2004 week:Ê23;2004 week:Ê24;2004 week:Ê25;2004 week:Ê26;2004 week:Ê27;2004 week:Ê28;2004 week:Ê29;2004 week:Ê30;2004 week:Ê31;2004 week:Ê32;2004 week:Ê33;2004 week:Ê34;2004 week:Ê35;2004 week:Ê36;2004 week:Ê37;2004 week:Ê38;2004 week:Ê39;2004 week:Ê40;2004 week:Ê41;2004 week:Ê42;2004 week:Ê43;2004 week:Ê44;2004 week:Ê45;2004 week:Ê46;2004 week:Ê47;2004 week:Ê48;2004 week:Ê49;2004 week:Ê50;2004 week:Ê51;2004 week:Ê52;2004 week:Ê53;2005 week:Ê1;2005 week:Ê2;2005 week:Ê3;2005 week:Ê4;2005 week:Ê5;2005 week:Ê6;2005 week:Ê7;2005 week:Ê8;2005 week:Ê9;2005 week:Ê10;2005 week:Ê11;2005 week:Ê12;2005 week:Ê13;2005 week:Ê14;2005 week:Ê15;2005 week:Ê16;2005 week:Ê17;2005 week:Ê18;2005 week:Ê19;2005 week:Ê20;2005 week:Ê21;2005 week:Ê22;2005 week:Ê23;2005 week:Ê24;2005 week:Ê25;2005 week:Ê26;2005 week:Ê27;2005 week:Ê28;2005 week:Ê29;2005 week:Ê30;2005 week:Ê31;2005 week:Ê32;2005 week:Ê33;2005 week:Ê34;2005 week:Ê35;2005 week:Ê36;2005 week:Ê37;2005 week:Ê38;2005 week:Ê39;2005 week:Ê40;2005 week:Ê41;2005 week:Ê42;2005 week:Ê43;2005 week:Ê44;2005 week:Ê45;2005 week:Ê46;2005 week:Ê47;2005 week:Ê48;2005 week:Ê49;2005 week:Ê50;2005 week:Ê51;2005 week:Ê52;2006 week:Ê1;2006 week:Ê2;2006 week:Ê3;2006 week:Ê4;2006 week:Ê5;2006 week:Ê6;2006 week:Ê7;2006 week:Ê8;2006 week:Ê9;2006 week:Ê10;2006 week:Ê11;2006 week:Ê12;2006 week:Ê13;2006 week:Ê14;2006 week:Ê15;2006 week:Ê16;2006 week:Ê17;2006 week:Ê18;2006 week:Ê19;2006 week:Ê20;2006 week:Ê40;2006 week:Ê41;2006 week:Ê42;2006 week:Ê43;2006 week:Ê44;2006 week:Ê45;2006 week:Ê46;2006 week:Ê47;2006 week:Ê48;2006 week:Ê49;2006 week:Ê50;2006 week:Ê51;2006 week:Ê52;2007 week:Ê1;2007 week:Ê2;2007 week:Ê3;2007 week:Ê4;2007 week:Ê5;2007 week:Ê6;2007 week:Ê7;2007 week:Ê8;2007 week:Ê9;2007 week:Ê10;2007 week:Ê11;2007 week:Ê12;2007 week:Ê13;2007 week:Ê14;2007 week:Ê15;2007 week:Ê16;2007 week:Ê17;2007 week:Ê18;2007 week:Ê19;2007 week:Ê20;2007 week:Ê21;2007 week:Ê22;2007 week:Ê23;2007 week:Ê24;2007 week:Ê25;2007 week:Ê26;2007 week:Ê27;2007 week:Ê28;2007 week:Ê29;2007 week:Ê30;2007 week:Ê31;2007 week:Ê32;2007 week:Ê33;2007 week:Ê34;2007 week:Ê35;2007 week:Ê36;2007 week:Ê37;2007 week:Ê38;2007 week:Ê39;2007 week:Ê40;2007 week:Ê41;2007 week:Ê42;2007 week:Ê43;2007 week:Ê44;2007 week:Ê45;2007 week:Ê46;2007 week:Ê47;2007 week:Ê48;2007 week:Ê49;2007 week:Ê50;2007 week:Ê51;2007 week:Ê52;2008 week:Ê1;2008 week:Ê2;2008 week:Ê3;2008 week:Ê4;2008 week:Ê5;2008 week:Ê6;2008 week:Ê7;2008 week:Ê8;2008 week:Ê9;2008 week:Ê10;2008 week:Ê11;2008 week:Ê12;2008 week:Ê13;2008 week:Ê14;2008 week:Ê15;2008 week:Ê16;2008 week:Ê17;2008 week:Ê18;2008 week:Ê19;2008 week:Ê20;2008 week:Ê21;2008 week:Ê22;2008 week:Ê23;2008 week:Ê24;2008 week:Ê25;2008 week:Ê26;2008 week:Ê27;2008 week:Ê28;2008 week:Ê29;2008 week:Ê30;2008 week:Ê31;2008 week:Ê32;2008 week:Ê33;2008 week:Ê34;2008 week:Ê35;2008 week:Ê36;2008 week:Ê37;2008 week:Ê38;2008 week:Ê39;2008 week:Ê40;2008 week:Ê41;2008 week:Ê42;2008 week:Ê43;2008 week:Ê44;2008 week:Ê45;2008 week:Ê46;2008 week:Ê47;2008 week:Ê48;2008 week:Ê49;2008 week:Ê50;2008 week:Ê51;2008 week:Ê52;2009 week:Ê1;2009 week:Ê2;2009 week:Ê3;2009 week:Ê4;2009 week:Ê5;2009 week:Ê6;2009 week:Ê7;2009 week:Ê8;2009 week:Ê9;2009 week:Ê10;2009 week:Ê11;2009 week:Ê12;2009 week:Ê13;2009 week:Ê14;2009 week:Ê15;2009 week:Ê16;2009 week:Ê17;2009 week:Ê18;2009 week:Ê19;2009 week:Ê20;2009 week:Ê21;2009 week:Ê22;2009 week:Ê23;2009 week:Ê24;2009 week:Ê25;2009 week:Ê26;2009 week:Ê27;2009 week:Ê28;2009 week:Ê29;2009 week:Ê30;2009 week:Ê31;2009 week:Ê32;2009 week:Ê33;2009 week:Ê34;2009 week:Ê35;2009 week:Ê36;2009 week:Ê37;2009 week:Ê38;2009 week:Ê39;2009 week:Ê40;2009 week:Ê41;2009 week:Ê42;2009 week:Ê43;2009 week:Ê44;2009 week:Ê45;2009 week:Ê46;2009 week:Ê47;2009 week:Ê48;2009 week:Ê49;2009 week:Ê50;2009 week:Ê51;2009 week:Ê52;2009 week:Ê53;2010 week:Ê1;2010 week:Ê2;2010 week:Ê3;2010 week:Ê4;2010 week:Ê5;2010 week:Ê6;2010 week:Ê7;2010 week:Ê8;2010 week:Ê9;2010 week:Ê10;2010 week:Ê11;2010 week:Ê12;2010 week:Ê13;2010 week:Ê14;2010 week:Ê15;2010 week:Ê16;2010 week:Ê17;2010 week:Ê18;2010 week:Ê19;2010 week:Ê20;2010 week:Ê21;2010 week:Ê22;2010 week:Ê23;2010 week:Ê24;2010 week:Ê25;2010 week:Ê26;2010 week:Ê27;2010 week:Ê28;2010 week:Ê29;2010 week:Ê30;2010 week:Ê31;2010 week:Ê32;2010 week:Ê33;2010 week:Ê34;2010 week:Ê35;2010 week:Ê36;2010 week:Ê37;2010 week:Ê38;2010 week:Ê39;2010 week:Ê40;2010 week:Ê41;2010 week:Ê42;2010 week:Ê43;2010 week:Ê44;2010 week:Ê45;2010 week:Ê46;2010 week:Ê47;2010 week:Ê48;2010 week:Ê49;2010 week:Ê50;2010 week:Ê51;2010 week:Ê52;2011 week:Ê1;2011 week:Ê2;2011 week:Ê3;2011 week:Ê4;2011 week:Ê5;2011 week:Ê6;2011 week:Ê7;2011 week:Ê8;2011 week:Ê9;2011 week:Ê10;2011 week:Ê11;2011 week:Ê12;2011 week:Ê13;2011 week:Ê14;2011 week:Ê15;2011 week:Ê16;2011 week:Ê17;2011 week:Ê18;2011 week:Ê19;2011 week:Ê20;2011 week:Ê21;2011 week:Ê22;2011 week:Ê23;2011 week:Ê24;2011 week:Ê25;2011 week:Ê26;2011 week:Ê27;2011 week:Ê28;2011 week:Ê29;2011 week:Ê30;2011 week:Ê31;2011 week:Ê32;2011 week:Ê33;2011 week:Ê34;2011 week:Ê35;2011 week:Ê36;2011 week:Ê37;2011 week:Ê38;2011 week:Ê39;2011 week:Ê40;2011 week:Ê41;2011 week:Ê42;2011 week:Ê43;2011 week:Ê44;2011 week:Ê45;2011 week:Ê46;2011 week:Ê47;2011 week:Ê48;2011 week:Ê49;2011 week:Ê50;2011 week:Ê51;2011 week:Ê52;2012 week:Ê1;2012 week:Ê2;2012 week:Ê3;2012 week:Ê4;2012 week:Ê5;2012 week:Ê6;2012 week:Ê7;2012 week:Ê8;2012 week:Ê9;2012 week:Ê10;2012 week:Ê11;2012 week:Ê12;2012 week:Ê13;2012 week:Ê14;2012 week:Ê15;2012 week:Ê16;2012 week:Ê17;2012 week:Ê18;2012 week:Ê19;2012 week:Ê20;2012 week:Ê21;2012 week:Ê22;2012 week:Ê23;2012 week:Ê24;2012 week:Ê25;2012 week:Ê26;2012 week:Ê27;2012 week:Ê28;2012 week:Ê29;2012 week:Ê30;2012 week:Ê31;2012 week:Ê32;2012 week:Ê33;2012 week:Ê34;2012 week:Ê35;2012 week:Ê36;2012 week:Ê37;2012 week:Ê38;2012 week:Ê39;2012 week:Ê40;2012 week:Ê41;2012 week:Ê42;2012 week:Ê43;2012 week:Ê44;2012 week:Ê45;2012 week:Ê46;2012 week:Ê47;2012 week:Ê48;2012 week:Ê49;2012 week:Ê50;2012 week:Ê51;2012 week:Ê52;2013 week:Ê1;2013 week:Ê2;2013 week:Ê3;2013 week:Ê4;2013 week:Ê5;2013 week:Ê6;2013 week:Ê7;2013 week:Ê8;2013 week:Ê9;2013 week:Ê10;2013 week:Ê11;2013 week:Ê12;2013 week:Ê13;2013 week:Ê14;2013 week:Ê15;2013 week:Ê16;2013 week:Ê17;2013 week:Ê18;2013 week:Ê19;2013 week:Ê20;2013 week:Ê21;2013 week:Ê22;2013 week:Ê23;2013 week:Ê24;2013 week:Ê25;2013 week:Ê26;2013 week:Ê27;2013 week:Ê28;2013 week:Ê29;2013 week:Ê30;2013 week:Ê31;2013 week:Ê32;2013 week:Ê33;2013 week:Ê34;2013 week:Ê35;2013 week:Ê36;2013 week:Ê37;2013 week:Ê38;2013 week:Ê39;2013 week:Ê40;2013 week:Ê41;2013 week:Ê42;2013 week:Ê43;2013 week:Ê44;2013 week:Ê45;2013 week:Ê46;2013 week:Ê47;2013 week:Ê48;2013 week:Ê49;2013 week:Ê50;2013 week:Ê51;2013 week:Ê52;2014 week:Ê1;2014 week:Ê2;2014 week:Ê3;2014 week:Ê4;2014 week:Ê5;2014 week:Ê6;2014 week:Ê7;2014 week:Ê8;2014 week:Ê9;2014 week:Ê10;2014 week:Ê11;2014 week:Ê12;2014 week:Ê13;2014 week:Ê14;2014 week:Ê15;2014 week:Ê16;2014 week:Ê17;2014 week:Ê18;2014 week:Ê19;2014 week:Ê20;2014 week:Ê21;2014 week:Ê22;2014 week:Ê23;2014 week:Ê24;2014 week:Ê25;2014 week:Ê26;2014 week:Ê27;2014 week:Ê28;2014 week:Ê29;2014 week:Ê30;2014 week:Ê31;2014 week:Ê32;2014 week:Ê33;2014 week:Ê34;2014 week:Ê35;2014 week:Ê36;2014 week:Ê37;2014 week:Ê38;2014 week:Ê39;2014 week:Ê40;2014 week:Ê41;2014 week:Ê42;2014 week:Ê43;2014 week:Ê44;2014 week:Ê45;2014 week:Ê46;2014 week:Ê47;2014 week:Ê48;2014 week:Ê49;2014 week:Ê50
Total A and B;831;457;328;222;218;174;118;182;181;144;153;119;53;1;12;1;1;0;0;0;1;0;0;0;0;0;0;0;0;496;287;179;90;67;17;17;2;5;3;6;18;14;8;17;28;44;42;81;159;331;568;857;1,147;1,467;1,623;1,707;1,643;1,36;841;597;416;213;160;96;33;9;10;1;2;21;26;47;64;99;146;230;280;484;766;1,171;1,599;1,917;2,102;1,612;1,02;682;464;301;256;195;98;70;50;28;16;17;21;21;12;5;2;0;0;0;0;1;4;4;13;17;32;41;75;97;156;212;363;478;744;1,086;1,282;1,21;1,015;713;612;468;256;192;175;120;77;45;45;20;9;6;9;8;5;8;17;13;13;46;33;74;83;112;169;220;344;540;927;1,243;1,474;1,639;1,807;1,833;1,425;1,137;803;569;458;330;253;262;156;168;145;88;64;36;26;7;2;4;2;1;0;2;0;0;0;0;1;0;0;3;2;0;3;0;5;6;5;10;23;15;41;99;191;197;186;303;442;667;1,006;1,413;1,299;1,102;1,04;767;666;571;312;224;123;134;74;75;31;20;18;5;15;7;1;1;0;1;0;22;77;254;459;538;862;1,304;1,974;2,251;3,268;4,086;3,619;2,406;1,686;856;503;258;166;106;65;56;38;18;14;13;24;17;9;15;24;11;9;2;4;6;6;3;2;3;3;1;2;2;8;2;1;1;4;4;3;7;4;14;12;14;37;32;45;62;90;61;136;193;275;513;951;1,279;1,113;1,476;1,863;2,324;2,569;2,699;2,274;1,694;1,209;1,101;860;565;352;176;121;64;48;36;39;32;24;12;14;11;7;5;2;3;2;0;4;5;2;4;1;5;0;0;11;11;23;13;20;40;40;38;85;182;330;600;654;502;634;628;754;820;929;1,065;1,259;1,437;1,51;1,14;1,029;857;547;393;314;166;126;100;51;56;67;80;84;143;155;133;161;209;264;541;729;704;468;594;718;1,31;1,849;2,532;2,523;2,367;1,949;1,589;1,353;1,09;765;518;515;373;294;203;126;92;84;30;20;26;8;15;18;23;16;37;24;34;19;23;30;24;30;30;20;44;44;48;50;74;85;87;140;124;179;218;313;451;579;1,011;1,336;2,155;3,818;4,733;4,743;5,186;4,371;3,545;2,544;1,943;1,378;880;608;347;185;125;64;37;29;19;17;11;7;6;4;6;4;9;7;7;1;6;5;6;11;12;7;17;22;37;60;41;68;62;82;112;120;183;256;287;357;568;742;1,254;1,953;2,797;3,195;2,906;2,915;2,652;2,15;1,782;1,243;799;553;339;282;4,289;4,921;2,949;3,875;4,134;4,997;5,422;5,923;4,252;3,263;3,255;2,641;2,299;2,713;1,814;1,718;2,103;2,145;2,99;3,774;4,337;4,61;5,738;8,189;10,858;12,111;9,77;7,581;5,797;3,454;1,867;1,323;802;661;392;428;366;396;447;402;404;361;380;424;445;475;351;246;237;127;79;52;37;31;26;19;8;8;8;11;11;7;4;10;12;24;19;32;21;45;34;46;64;67;62;77;128;141;168;247;352;491;588;609;843;1,438;1,998;2,375;2,645;3,027;3,724;4,439;4,919;5,086;5,743;4,599;3,566;2,667;1,95;1,356;883;629;393;193;125;62;38;19;16;12;5;9;2;4;5;6;8;3;10;11;16;17;14;13;19;20;26;33;19;28;43;38;49;43;75;73;106;129;192;175;177;229;312;466;658;797;1,05;1,386;1,928;2,282;2,646;2,171;1,561;1,446;1,254;1,157;851;720;614;510;422;371;304;303;172;168;91;99;76;101;200;173;164;109;87;87;78;96;89;163;197;300;339;409;619;851;1,368;2,038;3,432;4,584;5,929;6,445;6,474;6,897;5,936;5,13;4,039;3,059;2,385;2,069;1,776;1,645;1,452;1,219;953;893;631;454;379;293;249;174;161;148;129;126;95;65;67;79;56;60;75;63;58;58;120;113;122;117;137;185;221;175;197;274;394;520;703;863;1,722;1,968;3,685;4,478;4,982;4,636;4,243;3,613;2,708;2,289;1,812;1,373;1,026;974;930;919;933;939;954;796;717;697;561;496;385;396;270;290;221;170;153;144;94;115;94;79;112;106;133;111;129;171;200;303;423;571;530;707;1,106;1,313;2,186;3,289;4,407;5,2
Total A;791;439;294;178;136;107;21;34;27;18;20;5;3;1;12;1;1;0;0;0;1;0;0;0;0;0;0;0;0;493;283;174;86;64;15;17;2;5;3;1;18;10;4;9;17;25;28;56;129;257;462;704;878;1,146;1,287;1,329;1,288;1,034;641;434;308;155;125;78;25;8;7;0;2;21;25;44;64;97;146;230;279;484;765;1,167;1,598;1,913;2,101;1,61;1,017;678;463;298;251;187;93;65;45;26;14;14;16;17;10;2;1;0;0;0;0;0;4;2;11;14;29;29;52;61;115;159;260;322;493;727;805;702;469;278;199;118;75;46;27;26;10;8;3;0;1;1;0;7;5;8;17;13;13;45;30;73;78;110;165;219;342;534;922;1,231;1,45;1,62;1,779;1,765;1,339;1,001;637;359;174;95;61;36;18;19;5;2;3;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;4;3;2;6;7;9;13;25;45;45;73;115;167;282;471;707;719;686;657;522;474;440;234;180;106;108;63;53;19;14;9;1;5;3;1;1;0;1;0;21;77;253;455;538;859;1,302;1,966;2,241;3,236;4,057;3,599;2,39;1,674;848;498;255;163;104;60;48;26;10;8;11;9;8;1;3;13;4;3;0;1;3;2;1;0;2;1;0;0;0;8;1;1;0;3;4;0;5;3;12;8;13;27;25;29;38;70;40;104;161;230;459;828;1,113;931;1,265;1,557;1,9;2,091;2,086;1,657;1,176;794;635;405;224;142;53;48;24;18;18;23;12;9;4;4;6;6;1;0;1;1;0;4;5;2;3;1;4;0;0;10;10;18;11;17;34;36;35;83;174;325;591;636;481;621;613;731;770;833;971;1,129;1,174;1,193;818;675;470;262;185;111;49;47;36;10;41;58;58;61;101;112;101;133;155;202;421;596;581;382;508;638;1,156;1,646;2,121;2,107;1,841;1,399;1,119;923;721;554;362;375;292;226;147;88;65;70;21;16;19;6;11;13;21;15;35;22;30;19;22;23;24;23;27;20;39;44;46;45;63;74;85;127;111;157;191;263;366;473;850;1,126;1,817;3,159;3,844;3,664;3,826;2,975;2,179;1,461;1,035;602;375;198;114;59;46;22;18;14;9;12;4;5;0;1;2;2;9;3;6;0;3;2;6;9;10;5;11;16;31;46;36;57;50;59;88;106;146;200;236;307;490;638;1,065;1,573;2,109;2,25;1,975;1,768;1,494;1,088;856;607;328;270;153;169;3,502;4,431;2,815;3,782;4,092;4,971;5,407;5,914;4,245;3,256;3,248;2,637;2,296;2,709;1,811;1,713;2,102;2,131;2,986;3,763;4,332;4,592;5,721;8,17;10,84;12,081;9,751;7,551;5,788;3,441;1,86;1,314;799;655;389;420;358;384;444;393;398;352;374;421;440;461;347;237;232;127;77;46;29;30;23;15;6;6;5;7;11;6;4;8;8;19;17;22;18;37;28;39;50;46;42;54;92;96;115;141;188;253;322;348;533;908;1,327;1,72;2,07;2,429;2,987;3,474;3,785;3,903;4,375;3,396;2,673;1,979;1,395;949;598;377;244;114;64;39;24;9;12;7;1;9;0;3;4;3;3;2;8;9;12;11;13;11;17;13;21;24;11;20;31;29;34;32;55;56;86;110;168;158;155;214;295;436;617;742;981;1,311;1,821;2,166;2,449;1,93;1,322;1,176;964;844;582;473;348;258;169;147;104;124;67;51;34;55;29;61;70;74;84;69;49;46;28;56;40;84;99;179;200;258;388;584;1,006;1,541;2,754;3,762;4,833;5,283;5,377;5,752;4,858;4,039;2,963;2,008;1,353;985;730;562;434;325;221;252;174;143;140;98;75;54;52;56;51;64;46;32;40;66;41;50;53;51;48;54;109;101;115;95;115;158;193;150;183;233;351;481;648;823;1,655;1,921;3,623;4,391;4,898;4,554;4,133;3,461;2,555;2,091;1,613;1,153;789;693;617;517;471;447;421;351;312;282;234;202;163;188;139;151;115;73;73;85;52;65;73;57;76;65;93;82;99;118;136;197;266;411;406;575;956;1,176;2,03;3,096;4,184;5,006
Total B;40;18;34;44;82;67;97;148;154;126;133;114;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;5;4;3;2;0;0;0;0;5;0;4;4;8;11;19;14;25;30;74;106;153;269;321;336;378;355;326;200;163;108;58;35;18;8;1;3;1;0;0;1;3;0;2;0;0;1;0;1;4;1;4;1;2;3;4;1;3;5;8;5;5;5;2;2;3;5;4;2;3;1;0;0;0;0;1;0;2;2;3;3;12;23;36;41;53;103;156;251;359;477;508;546;435;413;350;181;146;148;94;67;37;42;20;8;5;9;1;0;0;0;0;0;1;3;1;5;2;4;1;2;6;5;12;24;19;28;68;86;136;166;210;284;235;192;226;138;149;140;86;61;34;25;7;2;4;2;1;0;1;0;0;0;0;1;0;0;1;2;0;1;0;1;3;3;4;16;6;28;74;146;152;113;188;275;385;535;706;580;416;383;245;192;131;78;44;17;26;11;22;12;6;9;4;10;4;0;0;0;0;0;1;0;1;4;0;3;2;8;10;32;29;20;16;12;8;5;3;3;2;5;8;12;8;6;2;15;9;8;12;11;7;6;2;3;3;4;2;2;1;2;1;2;2;0;1;0;1;1;0;3;2;1;2;4;1;10;7;16;24;20;21;32;32;45;54;123;166;182;211;306;424;478;613;617;518;415;466;455;341;210;123;73;40;30;18;16;20;15;8;10;5;1;4;2;2;1;0;0;0;0;1;0;1;0;0;1;1;5;2;3;6;4;3;2;8;5;9;18;21;13;15;23;50;96;94;130;263;317;322;354;387;285;208;203;117;79;64;41;15;9;22;23;42;43;32;28;54;62;120;133;123;86;86;80;154;203;411;416;526;550;470;430;369;211;156;140;81;68;56;38;27;14;9;4;7;2;4;5;2;1;2;2;4;0;1;7;0;7;3;0;5;0;2;5;11;11;2;13;13;22;27;50;85;106;161;210;338;659;889;1,079;1,36;1,396;1,366;1,083;908;776;505;410;233;126;79;42;19;15;10;5;7;2;6;3;4;2;0;4;1;1;3;3;0;2;2;2;6;6;6;14;5;11;12;23;24;14;37;56;51;50;78;104;189;380;688;945;931;1,147;1,158;1,062;926;636;471;283;186;113;787;490;134;93;42;26;15;9;7;7;7;4;3;4;3;5;1;14;4;11;5;18;17;19;18;30;19;30;9;13;7;9;3;6;3;8;8;12;3;9;6;9;6;3;5;14;4;9;5;0;2;6;8;1;3;3;2;2;3;4;0;1;0;2;4;5;2;10;3;8;6;7;14;21;20;23;36;45;53;106;164;238;266;261;310;530;671;655;575;598;737;965;1,134;1,183;1,368;1,203;893;688;555;407;285;252;149;79;61;23;14;10;4;5;4;0;2;1;1;3;5;1;2;2;3;5;1;2;2;7;5;9;8;8;12;9;15;11;20;17;20;19;24;17;22;15;17;30;41;55;69;75;107;116;197;241;239;270;290;313;269;247;266;252;253;224;200;179;105;117;57;43;47;31;35;26;28;25;26;36;48;40;49;79;98;121;139;151;231;265;362;497;678;822;1,096;1,162;1,097;1,145;1,078;1,091;1,076;1,051;1,032;1,084;1,046;1,083;1,018;894;732;641;457;311;239;195;174;120;109;92;78;62;47;27;23;13;14;9;20;12;10;3;10;12;7;22;22;26;28;25;14;41;43;39;55;40;67;47;62;87;84;82;110;152;153;198;199;220;237;281;313;402;462;492;533;445;405;415;327;294;222;208;131;139;106;97;80;59;42;50;21;21;36;40;40;29;30;53;64;106;157;159;124;132;150;137;156;193;223;194
