Total A and B	2010 week:Ê1	2010 week:Ê2	2010 week:Ê3	2010 week:Ê4	2010 week:Ê5	2010 week:Ê6	2010 week:Ê7	2010 week:Ê8	2010 week:Ê9	2010 week:Ê10	2010 week:Ê11	2010 week:Ê12	2010 week:Ê13	2010 week:Ê14	2010 week:Ê15	2010 week:Ê16	2010 week:Ê17	2010 week:Ê18	2010 week:Ê19	2010 week:Ê20	2010 week:Ê21	2010 week:Ê22	2010 week:Ê23	2010 week:Ê24	2010 week:Ê25	2010 week:Ê26	2010 week:Ê27	2010 week:Ê28	2010 week:Ê29	2010 week:Ê30	2010 week:Ê31	2010 week:Ê32	2010 week:Ê33	2010 week:Ê34	2010 week:Ê35	2010 week:Ê36	2010 week:Ê37	2010 week:Ê38	2010 week:Ê39	2010 week:Ê40	2010 week:Ê41	2010 week:Ê42	2010 week:Ê43	2010 week:Ê44	2010 week:Ê45	2010 week:Ê46	2010 week:Ê47	2010 week:Ê48	2010 week:Ê49	2010 week:Ê50	2010 week:Ê51	2010 week:Ê52	2011 week:Ê1	2011 week:Ê2	2011 week:Ê3	2011 week:Ê4	2011 week:Ê5	2011 week:Ê6	2011 week:Ê7	2011 week:Ê8	2011 week:Ê9	2011 week:Ê10	2011 week:Ê11	2011 week:Ê12	2011 week:Ê13	2011 week:Ê14	2011 week:Ê15	2011 week:Ê16	2011 week:Ê17	2011 week:Ê18	2011 week:Ê19	2011 week:Ê20	2011 week:Ê21	2011 week:Ê22	2011 week:Ê23	2011 week:Ê24	2011 week:Ê25	2011 week:Ê26	2011 week:Ê27	2011 week:Ê28	2011 week:Ê29	2011 week:Ê30	2011 week:Ê31	2011 week:Ê32	2011 week:Ê33	2011 week:Ê34	2011 week:Ê35	2011 week:Ê36	2011 week:Ê37	2011 week:Ê38	2011 week:Ê39	2011 week:Ê40	2011 week:Ê41	2011 week:Ê42	2011 week:Ê43	2011 week:Ê44	2011 week:Ê45	2011 week:Ê46	2011 week:Ê47	2011 week:Ê48	2011 week:Ê49	2011 week:Ê50	2011 week:Ê51	2011 week:Ê52	2012 week:Ê1	2012 week:Ê2	2012 week:Ê3	2012 week:Ê4	2012 week:Ê5	2012 week:Ê6	2012 week:Ê7	2012 week:Ê8	2012 week:Ê9	2012 week:Ê10	2012 week:Ê11	2012 week:Ê12	2012 week:Ê13	2012 week:Ê14	2012 week:Ê15	2012 week:Ê16	2012 week:Ê17	2012 week:Ê18	2012 week:Ê19	2012 week:Ê20	2012 week:Ê21	2012 week:Ê22	2012 week:Ê23	2012 week:Ê24	2012 week:Ê25	2012 week:Ê26	2012 week:Ê27	2012 week:Ê28	2012 week:Ê29	2012 week:Ê30	2012 week:Ê31	2012 week:Ê32	2012 week:Ê33	2012 week:Ê34	2012 week:Ê35	2012 week:Ê36	2012 week:Ê37	2012 week:Ê38	2012 week:Ê39	2012 week:Ê40	2012 week:Ê41	2012 week:Ê42	2012 week:Ê43	2012 week:Ê44	2012 week:Ê45	2012 week:Ê46	2012 week:Ê47	2012 week:Ê48	2012 week:Ê49	2012 week:Ê50	2012 week:Ê51	2012 week:Ê52	2013 week:Ê1	2013 week:Ê2	2013 week:Ê3	2013 week:Ê4	2013 week:Ê5	2013 week:Ê6	2013 week:Ê7	2013 week:Ê8	2013 week:Ê9	2013 week:Ê10	2013 week:Ê11	2013 week:Ê12	2013 week:Ê13	2013 week:Ê14	2013 week:Ê15	2013 week:Ê16	2013 week:Ê17	2013 week:Ê18	2013 week:Ê19	2013 week:Ê20	2013 week:Ê21	2013 week:Ê22	2013 week:Ê23	2013 week:Ê24	2013 week:Ê25	2013 week:Ê26	2013 week:Ê27	2013 week:Ê28	2013 week:Ê29	2013 week:Ê30	2013 week:Ê31	2013 week:Ê32	2013 week:Ê33	2013 week:Ê34	2013 week:Ê35	2013 week:Ê36	2013 week:Ê37	2013 week:Ê38	2013 week:Ê39	2013 week:Ê40	2013 week:Ê41	2013 week:Ê42	2013 week:Ê43	2013 week:Ê44	2013 week:Ê45	2013 week:Ê46	2013 week:Ê47	2013 week:Ê48	2013 week:Ê49	2013 week:Ê50	2013 week:Ê51	2013 week:Ê52	2014 week:Ê1	2014 week:Ê2	2014 week:Ê3	2014 week:Ê4	2014 week:Ê5	2014 week:Ê6	2014 week:Ê7	2014 week:Ê8	2014 week:Ê9	2014 week:Ê10	2014 week:Ê11	2014 week:Ê12	2014 week:Ê13	2014 week:Ê14	2014 week:Ê15	2014 week:Ê16	2014 week:Ê17	2014 week:Ê18	2014 week:Ê19	2014 week:Ê20	2014 week:Ê21	2014 week:Ê22	2014 week:Ê23	2014 week:Ê24	2014 week:Ê25	2014 week:Ê26	2014 week:Ê27	2014 week:Ê28	2014 week:Ê29	2014 week:Ê30	2014 week:Ê31	2014 week:Ê32	2014 week:Ê33	2014 week:Ê34	2014 week:Ê35	2014 week:Ê36	2014 week:Ê37	2014 week:Ê38	2014 week:Ê39	2014 week:Ê40	2014 week:Ê41	2014 week:Ê42	2014 week:Ê43	2014 week:Ê44	2014 week:Ê45	2014 week:Ê46	2014 week:Ê47	2014 week:Ê48	2014 week:Ê49	2014 week:Ê50	2014 week:Ê51	2014 week:Ê52
Bangladesh	0	3	6	4	0	6	1	9	4	8	10	9	8	14	12	10	17	17	17	20	7	16	7	15	14	30	20	26	25	33	21	24	22	19	17	19	21	10	14	9	4	4	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	12	2	12	13	44	32	55	31	38	29	32	35	18	20	2	27	16	12	10	7	5	3	4	2	0	2	0	0	0	0	0	1	2	1	1	0	1	0	6	6	22	12	33	27	24	24	24	16	10	19	11	10	5	7	6	1	2	7	12	4	7	10	17	6	18	26	41	27	21	31	23	27	15	13	4	11	6	7	1	1	2	2	1	2	0	0	0	1	2	5	2	1	5	2	8	9	7	10	14	7	6	12	17	35	29	62	64	61	21	25	16	8	2	1	1	2	0	2	2	5	1	7	4	12	1	14	9	10	8	11	4	7	2	3	4	1	9	1	1	4	1		1	3	7	5	4	2	3	6	6	4	0	10	5	3	15	31	71	82	58	48	39	25	31	0	34	18	17	9	6	4	8	6	3	1	3	1	1	1	0	0	0				
Belarus																																								2				1	0	0	0	0	2	3	4	8	11	31	48	90	172	149	196	194	108	91	55	24	11	12	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	3	2	4	13	7	11	18	7	2	4	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	3	24	48	83	91	36	45	23	15	20	12	14	8	19	6	3	4	1																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	4	1	4	6	8	6	9	15	10	18	8	6	9	0	6																				0	0	0	0	0	0	0	0	0	0	3		
Belgium	2	9	6	3	5	4	2	2	1	0	4	1	0	0	0	1	1	1	2	0	0	0	1	0						0	0				0	0	0	0	0	0	0	1	3	0	0	2	2	7	17	36	52	53	70	63	79	76	68	61	43	22	24	13	8	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	1	0	0	0	0	0	1	1	0	2	1	2	1	1	3	8	8	95	35	64	71	74	33	37	31	7	16	1	2	1	0	0	0	0	0	0												1					0	0	0	0	0	3	0	2	1	8	16	17	28	28	44	69	93	110	97	73	45	65	57	33	18	16	4	7	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	5	1	4	1	2	5	24	14	34	36	31	27	20	21	10	7	8	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	2	3	5	0	1		
Bhutan																																																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	2	8	3	2	1	0	0	0	0	1	1	5	6	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	1	0	0	0	0	0	2	1	5	0	1	2		12	10	3	6	7	10	7	4	3	1	0	4	0	0	0	0	0	4	8	2	9	25	10	18	18	22	3	2	10	15	2	14	1	2	2	1	6	2	1	1	1	1	2	10	6	5	2	1	1	0	0	1	2	2	1	3	0	0	0	0	0	0	0	0	4	4	8	2	0	1	7	2	0	5	6	2	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	2	9	4	2	5	12	27	24	18	14	6	11	3	5	5	3	3	1	2	5	11	23	17	7	12	12	6	9	11	5	19	5	1	3	7	5	6	2	6	2	2	0	1	0	0	0	
Bolivia	0	0	0	0	0	0	0	1	0	3	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	3	3	9	25	81	109	60	31	22	15	7	9	10	6	11	4	3	8	8	7	3	16	2	3	4	3	0	1	2	0	0	1	0	2	0	0	0	0	0	1	0	0	2	1	3	6	6	11	16	21	16	6	2	4	9	5	9	7	24	13	15	22	18	71	139	590	147	168	101	83	83	48	39	23	16	5	8	4	6	2	1	0	3	8	1	6	12	24	35	52	46	47	43	23	36	18	23	13	19	66	127	194	220	160	120	85	23	17	18	10	9	16	6	6	3	4	3	4	6	7	6	12	7	14	10	10	7	22	24	24	10	15	8	2	2	0	5	3	1	0	1	0	1	1	2	3	6	4	6	8	16	10	27	55	79	48	57	67	43	37	43	35	29	49	53	37	30	33	37	45	33	33	30	29	22	13	9	1	6	2	4	1	4	1	4	0	1	0	1	2	3	3	1	2	1	0	0	1	0	7	8	16	35	51	61	62	47	54	73	71	98	66	46	65	34	34	25	17	12	7	5	5	2	2	4	3	1	0	0	2	1	0	0		
Bosnia and Herzegovina																																														0	0	0	0	0	0	0	42	83	60	100	89	82	53	26	21	7	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	3	5	7	3	3	6	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	41	9	8	10	8	3	9	4	8	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	4	0	0	0	9	4	1	8	6	20	19	3	0	0	0	0	0	0	0	0	0	0	0	0																											
Brazil	3	20	31	16	15	18	14	17	65	93	91	59	51	42	43	20	26	19	13	8	9	13	9	16	16	15	14	26	1	7	2	1	3	2	1	2	14	8	8	15	2	20	17	8	43	17	10	13	35	22	18	24	45	49	41	44	26	36	27	15	16	11	9	16	9	6	15	15	20	14	23	22	19	24	32	29	41	41	33	27	37	34	22	20	23	6	3	5	6	8	5	14	14	9	22	3	7	9	19	20	7	6	1	0	3	6	11	9	9	11	17	13	16	27	43	42	16	12	28	21	32	9	13	30	32	45	24	42	79	87	100	109	114	94	71	38	43	39	34	27	26	25	35	27	33	33	9	14	21	4	4	2	2	7	2	3	11	19	19	13	13	15	7	18	13	18	30	30	41	41	80	124	200	248	242	271	327	329	331	402	324	239	269	237	198	98	90	74	51	46	38	49	43	29	38	37	16	23	22	12	13	7	13	12	9	12	9	7	10	20	17	10	5	7	7	19	12	10	13	23	27	34	34	35	48	56	80	69	78	82	119	79	43	40	40	45	37	30	36	43	41	48	50	51	40	36	41	30	37	30	36	19	14	16	10	11	4	8	5	
Bulgaria	7								0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	32	37	8	8	22	10	12	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	25	34	22	26	33	21	25	15	17	7	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	22	29	49	50	42	27	56	14	13	4	7	1	2	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	4	16	61	67	55	60	55	30	15	15	4	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0		
Burkina Faso																												0	0	0	0																																																	0	0	0	1	3	0	0	4	0	3	1	3	10	2	1	1	1	0	0							0	1	0	0	0	0	0	2	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	2	4	4	1	0	5	2	5	1	3	4	1	0	1	1	2	3	7	13	7	7	4	3	1	2	3	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3	0	0	0	1	2	0	2	0	1	0	0	3	6	1	3	2	3	4	3	6	3	3	0	3	3	2	4	2	4	6	10	13	4	9	2	1	1	0	1	0	0	0	0	1	2	1	1	1	2	7	9	5	4	1	1	0	1	1	2	0	0	0	0	1	0	0	0	0	0						
Cambodia	3	8	3	2	7	3	2	2	2	1	1	8	0	0	0	1	0	0	0	0	0	0	1	2	2	11	14	18	22	18	11	6	8	12	12	15	68	71	79	85	86	85	138	85	43	29	36	14	31	20	19	21	12	12	5	6	4	7	3	3	4	4	5	2	2	2	1	2	1	2	3	4	4	7	8	10	14	13	15	10	17	13	22	10	19	28	44	38	31	57	67	25	111	137	136	165	50	41	33	20	17	8	3	0	3	0	1	0	1	0	1	0	0	2	2	0	0	2	0	2	0	0	0	2	2	3	4	2	7	9	2	5	5	9	8	5	3	3	4	3	10	10	14	10	15	16	20	21	21	17	21	14	14	16	17	11	7	7	6	3	2	2	3	0	1	1	0	0	2	0	0	0	0	3	2	0	0	0	2	3	4	5	7	10	4	3	6	5	8	9	8	4	7	5	6	9	9	16	11	15	28	8	11	10	9	7	4	4	4	3	2	1	0	2	1	2	0	3	2	3	0	2	1	0	5	4	7	16	6	9	17	9	9	11	5	12	3	4	7	6	3	0	5	1	0	0	1	1	1	2	0	4	1	4	5	3	5			
