Total A and B	2010 week:Ê1	2010 week:Ê2	2010 week:Ê3	2010 week:Ê4	2010 week:Ê5	2010 week:Ê6	2010 week:Ê7	2010 week:Ê8	2010 week:Ê9	2010 week:Ê10	2010 week:Ê11	2010 week:Ê12	2010 week:Ê13	2010 week:Ê14	2010 week:Ê15	2010 week:Ê16	2010 week:Ê17	2010 week:Ê18	2010 week:Ê19	2010 week:Ê20	2010 week:Ê21	2010 week:Ê22	2010 week:Ê23	2010 week:Ê24	2010 week:Ê25	2010 week:Ê26	2010 week:Ê27	2010 week:Ê28	2010 week:Ê29	2010 week:Ê30	2010 week:Ê31	2010 week:Ê32	2010 week:Ê33	2010 week:Ê34	2010 week:Ê35	2010 week:Ê36	2010 week:Ê37	2010 week:Ê38	2010 week:Ê39	2010 week:Ê40	2010 week:Ê41	2010 week:Ê42	2010 week:Ê43	2010 week:Ê44	2010 week:Ê45	2010 week:Ê46	2010 week:Ê47	2010 week:Ê48	2010 week:Ê49	2010 week:Ê50	2010 week:Ê51	2010 week:Ê52	2011 week:Ê1	2011 week:Ê2	2011 week:Ê3	2011 week:Ê4	2011 week:Ê5	2011 week:Ê6	2011 week:Ê7	2011 week:Ê8	2011 week:Ê9	2011 week:Ê10	2011 week:Ê11	2011 week:Ê12	2011 week:Ê13	2011 week:Ê14	2011 week:Ê15	2011 week:Ê16	2011 week:Ê17	2011 week:Ê18	2011 week:Ê19	2011 week:Ê20	2011 week:Ê21	2011 week:Ê22	2011 week:Ê23	2011 week:Ê24	2011 week:Ê25	2011 week:Ê26	2011 week:Ê27	2011 week:Ê28	2011 week:Ê29	2011 week:Ê30	2011 week:Ê31	2011 week:Ê32	2011 week:Ê33	2011 week:Ê34	2011 week:Ê35	2011 week:Ê36	2011 week:Ê37	2011 week:Ê38	2011 week:Ê39	2011 week:Ê40	2011 week:Ê41	2011 week:Ê42	2011 week:Ê43	2011 week:Ê44	2011 week:Ê45	2011 week:Ê46	2011 week:Ê47	2011 week:Ê48	2011 week:Ê49	2011 week:Ê50	2011 week:Ê51	2011 week:Ê52	2012 week:Ê1	2012 week:Ê2	2012 week:Ê3	2012 week:Ê4	2012 week:Ê5	2012 week:Ê6	2012 week:Ê7	2012 week:Ê8	2012 week:Ê9	2012 week:Ê10	2012 week:Ê11	2012 week:Ê12	2012 week:Ê13	2012 week:Ê14	2012 week:Ê15	2012 week:Ê16	2012 week:Ê17	2012 week:Ê18	2012 week:Ê19	2012 week:Ê20	2012 week:Ê21	2012 week:Ê22	2012 week:Ê23	2012 week:Ê24	2012 week:Ê25	2012 week:Ê26	2012 week:Ê27	2012 week:Ê28	2012 week:Ê29	2012 week:Ê30	2012 week:Ê31	2012 week:Ê32	2012 week:Ê33	2012 week:Ê34	2012 week:Ê35	2012 week:Ê36	2012 week:Ê37	2012 week:Ê38	2012 week:Ê39	2012 week:Ê40	2012 week:Ê41	2012 week:Ê42	2012 week:Ê43	2012 week:Ê44	2012 week:Ê45	2012 week:Ê46	2012 week:Ê47	2012 week:Ê48	2012 week:Ê49	2012 week:Ê50	2012 week:Ê51	2012 week:Ê52	2013 week:Ê1	2013 week:Ê2	2013 week:Ê3	2013 week:Ê4	2013 week:Ê5	2013 week:Ê6	2013 week:Ê7	2013 week:Ê8	2013 week:Ê9	2013 week:Ê10	2013 week:Ê11	2013 week:Ê12	2013 week:Ê13	2013 week:Ê14	2013 week:Ê15	2013 week:Ê16	2013 week:Ê17	2013 week:Ê18	2013 week:Ê19	2013 week:Ê20	2013 week:Ê21	2013 week:Ê22	2013 week:Ê23	2013 week:Ê24	2013 week:Ê25	2013 week:Ê26	2013 week:Ê27	2013 week:Ê28	2013 week:Ê29	2013 week:Ê30	2013 week:Ê31	2013 week:Ê32	2013 week:Ê33	2013 week:Ê34	2013 week:Ê35	2013 week:Ê36	2013 week:Ê37	2013 week:Ê38	2013 week:Ê39	2013 week:Ê40	2013 week:Ê41	2013 week:Ê42	2013 week:Ê43	2013 week:Ê44	2013 week:Ê45	2013 week:Ê46	2013 week:Ê47	2013 week:Ê48	2013 week:Ê49	2013 week:Ê50	2013 week:Ê51	2013 week:Ê52	2014 week:Ê1	2014 week:Ê2	2014 week:Ê3	2014 week:Ê4	2014 week:Ê5	2014 week:Ê6	2014 week:Ê7	2014 week:Ê8	2014 week:Ê9	2014 week:Ê10	2014 week:Ê11	2014 week:Ê12	2014 week:Ê13	2014 week:Ê14	2014 week:Ê15	2014 week:Ê16	2014 week:Ê17	2014 week:Ê18	2014 week:Ê19	2014 week:Ê20	2014 week:Ê21	2014 week:Ê22	2014 week:Ê23	2014 week:Ê24	2014 week:Ê25	2014 week:Ê26	2014 week:Ê27	2014 week:Ê28	2014 week:Ê29	2014 week:Ê30	2014 week:Ê31	2014 week:Ê32	2014 week:Ê33	2014 week:Ê34	2014 week:Ê35	2014 week:Ê36	2014 week:Ê37	2014 week:Ê38	2014 week:Ê39	2014 week:Ê40	2014 week:Ê41	2014 week:Ê42	2014 week:Ê43	2014 week:Ê44	2014 week:Ê45	2014 week:Ê46	2014 week:Ê47	2014 week:Ê48	2014 week:Ê49	2014 week:Ê50	2014 week:Ê51	2014 week:Ê52
Cameroon	1	0	1	2	3	6	1	4	4	7	5	8	11	8	3	8	9	9	2	2	0	9	27	17	14	16	11	14	2	7	0	4	1	3	5	3	4	10	15	18	9	11	20	28	22	26	32	28	16	6	4	0	4	4	9	6	11	1	2	1	4	3	3	0	1	1	2	0	0	0	1	0	1	1	2	2	2	4	6	4	6	8	14	11	12	17	9	25	20	31	19	37	18	29	27	25	30	20	15	24	9	10	6	2	1	2	3	1	2	0	2	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	2	0	2	7	4	9	14	30	32	47	45	39	32	35	16	17	21	15	4	19	4	6	6	9	6	7	6	6	11	11	6	13	4	6	7	5	8	10	21	21	13	10	11	10	14	2	4	0	3	5	3	1	1	0	1	0	1	5	2	0	2	13	9	9	15	13	27	26	24	18	22	27	12	4	2	15	7	6	7	3	1	2	4	0	6	0	8	10	2	9	2	3	11	5	7	7	25	19	17	14	11	5	5	2	0	6	2	3	20	1	3	8													
Canada	41	15	8	14	12	6	6	7	3	7	9	7	6	6	0	2	4	3	1	4	5	0	1	1	0	8	2	6	0	3	0	2	1	6	2	1	3	8	12	11	17	17	14	22	42	55	111	225	323	566	987	1366	1823	1651	1405	1170	1301	1321	1153	1121	917	841	663	520	513	412	389	216	235	133	87	53	44	16	5	5	2	3	4	3	1	3	1	3		2	3	4	3	1	3	4	3	6	3	8	11	11	20	17	19	66	23	75	109	134	127	176	250	286	415	586	975	1163	1328	1407	1087	812	887	756	556	419	318	194	122	134	49	33	24	19	7	8	11	4	6	3	2	3	9	7	4	6	4	10		18	25	64	112	156	281	418	830	1520	231	1305	3857	3812	2942	1995	1323	1228	990	727	861	686	542	520	457	453	471	413	134	305	229	151	75	68	35	20	12	10	9	9	10	2	1	4	6	4	7	3	4	3	3	6	7	3	21	29	42	64	65	113	211	382	712	1203	2382	3614	3109	2569	2165	1764	1311	995	842	743	757	620	696	638	738	618	580	440	396	310	203	142	60	54	36	30	21	15	19	7	8	4	8	9	5	4	16	19	26	31	39	51	51	60	99	144	302	630				
Cape Verde	1	0	0	0																																																																																																																																																																																																																																																																
Central African Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	2	0			6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	6	6	10	13	5	0	1	0	0	0	0	0	0	0	2	0	3	0	8	1	0	0	2	3	1	0	2	3	0	2	0	2	2	0	0	0	1	2	0	1	3	0	0	0	0	1	1	6	6	5	8	8	26	19	17	18	7	2	8	5	3	1	1	2	2						0	0	0	0	0	0	0	2	2	0	0																																									
Chad																																																																																																																																																																																																											2																																																									
Chile	3	0	0	0	0	0	1	3	0	4	0	2	5	2	3	3	7	12	9	6	8	12	16	30	30	40	55	65	60	55	78	129	177	250	358	321	314	299	230	146	88	51	28	16	8	5	12	4	0	0	2	1	4	2	0	1	1	1	0	0	2	0	1	5	6	4	0	1	0	1	2	6	9	9	9	11	20	16	55	75	78	83	92	112	99	79	71	45	42	24	20	13	8	8	14	7	10	14	14	14	23	15	17	12	15	11	2	1	1	2	6	1	2	1	4	4	4	15	6	12	10	21	22	32	28	50	71	84	111	147	123	155	110	92	82	71	81	70	63	77	48	40	55	30	35	33	33	22	35	25	33	27	23	16	26	15	10	10	5	7	6	1	2	2	3	7	1	6	2	5	10	19	21	29	40	65	83	117	174	197	188	197	185	205	122	78	75	58	54	61	49	52	40	17	44	40	31	43	36	17	38	27	24	30	19	25	15	8	5	7	10	2	4	2	1	0	3	1	2	0	1	6	6	5	17	20	30	54	41	63	82	103	150	157	207	193	154	111	79	55	41	38	35	29	20	12	11	16	19	10	13	11	9	9	10	3	5			
China	2179	2213	2228	2027	1813	1353	799	1218	1333	1614	1745	1548	1388	843	635	716	602	529	434	368	314	225	238	118	185	202	262	334	432	413	615	776	782	1018	1211	1441	1473	1197	1045	890	685	508	498	400	389	245	397	400	395	359	602	532	808	1179	1739	1934	1460	1547	1488	1089	948	713	548	424	377	301	277	276	177	141	156	145	114	81	60	64	39	53	57	71	64	106	119	121	103	83	108	147	109	129	152	142	146	117	161	154	240	222	211	221	304	510	722	858	1175	1605	1449	877	1719	1984	2717	3151	2806	2741	2397	1926	1672	853	788	674	576	541	735	887	1042	851	723	570	487	556	597	629	645	741	659	577	428	376	354	261	221	179	113	50	56	71	73	94	93	164	207	252	376	478	610	565	360	771	654	1270	922	481	503	606	848	877	752	721	565	586	682	609	531	421	341	248	277	185	191	176	193	212	222	196	213	259	292	300	376	277	313	387	566	532	478	364	419	360	342	452	460	665	731	1220	1613	2029	2398	3558	4031	4262	4594	4090	2814	3115	2980	2948	3012	2421	2000	1967	1490	933	740	570	479	436	400	391	351	421	624	852	759	833	906	1228	1325	1346	1286	1050	1047	951	882	766	665	498	340	311	297	252	274	327	405	546	854	906	1288	1663	993	
Colombia	36	36	14	11	8	9	7	5	7	5	11	1	4	2	8	16	8	3	8	10	15	42	40	30	40	36	31	33	33	27	29	15	9	19	3	15	18	8	13	7	2	3	1	9	5	15	13	4	17	14	19	12	17	8	6	8	7	3	3	4	3	7	3	3	4	7	15	8	10	11	20	27	35	24	30	33	20	22	19	29	34	17	15	14	8	9	19	3	3	5	3	2	8	8	5	5	5	7	6	6	7	11	15	16	43	21	13	26	16	15	13	9	7	10	2	7	3	30	39	21	5	35	27	34	27	30	25	22	18	13	7	6	3	1	2	7	4	9	7	5	8	1	1	6	3	3	7	10	13	9	8	11	8	1	12	4	4	5	13	3	1	5	2	2	4	3	7	9	14	16	18	27	24	33	44	47	35	44	55	65	50	83	41	22	65	20	31	21	18	15	9	8	9	7	2	2	3	1	1	2	3	2	0	1	1	3			11	15	10	6	5	13	11	16	32	34	38	24	25	24	18	12	8	7	11	13	15	9	9	9	3	6	4	6	8	9	9	8	7	7	10	10	9	10	10	15	10	12	11	13	10	17	13	13	12			
Congo																																																																																																																													0	0	0	0	0	0	0	0																											4	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	2	1	3	3	0	1	2	3	1	0	0																																																																									
Costa Rica	48	28	20	19	8	13	9	85	15	19	13	14	9	20	19	12	3	14	14	17	19	50	56	36	72	62	32	42	42	65	15	51	35	35	34	57	29	21	29	12	12	10	18	19	17	24	6	11	16	13	15	3	6	4	1	12	6	4	0	4	0	2	0	1	0	2	0	0	1	0	0	7	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	3	1	1	3	12	13	17	16	21	27	13	7	23	15	24	14	9	8	8	2	6	1	5	3	2	0	5	5	0	0	0	1	1	1	1	0	2	6	2	6	8	5	8	6	5	3	8	18	7	16	9	25	39	16	20	23	23	18	19	3	7	3	4	4	0	9	4	6	4	4	3	1	7	3	10	3	1	7	5	6	2	2	6	6	4	13	16	10	22	35	49	58	49	15	29	12	10	12	7	17	14	10	3	6	8	3	6	9	5	7	10	5	8	5	3	1	0	5	5	0	4	0	2	2	1	3	1	0	1	0	1	0	1	0	0	0	2	1	1	1	0	1	2	10	17	13	19	18	18	12	11	31	21	29	26	11	14	21	19	21	33	31	29	28	18			
Croatia	24	8	12	4	5	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	23	131	131	211	257	280	198	124	116	83	41	70	30	26	14	10	4	1	0	2	0																					0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	9	13	32	44	82	122	119	52	106	71	32	7	1	5	4	2	0	0																			0	0	0	0	0	0	0	0	0	0	4	1	15	46	38	36	40	54	82	120	107	120	169	167	131	68	56	31	11	6	2	1	0																				0	0	0	0	0	0	0	0	0	0	1	2	3	29	11	22	18	8	22	60	57	45	52	68	59	58	55	37	31	5	4	5	1																						0		0	0	0	0					
Cuba	8	7	3	4	7	5	5	15	10	10	21	35	66	83	96	66	66	67	80	46	45	20	30	9	32	6	12	10	13	32	25	35	34	24	20	26	39	27	16	20	13	16	16	29	15	9	2	5	3	11	6	1	3	4	5	10	0	3	6	4	9	2	5	2	2	6	0	2	1	0	2	1	0	0	2	3	1	2	2	0	14	5	20	14	20	25	28	31	54	30	15	7	2	2	3	1	3	2	0	0	0	1	0	3	13	0	0	0	1	1	0	0	0	1	7	3	0	2	1	2	0	0	4	7	8	19	13	29	23	36	17	22	9	8	19	14	13	12	11	4	9	10	4	14	7	1	5	2	8	7	6	8	3	1	2		1	0	12	0	9	12	8	14	11	7	7	6	3	8	21	26	11	28	27	27	38	46	56	51	59	37	64	38	20	24	21	25	14	14	16	15	4	16	14	19	15	16	9	14	6	10	24	7	13	15	2	3	6	0	10	4	2	5	3	4	2	4	2	3	2	1	1	0	0	1	0	0	0	0	0	1	0	1	1	2	1	2	0	2	0	1	2	7	10	2	12	11	11	14	20	13	9	19	15	37	16			
Czech Republic		29							5	8	1		3	1	0	1	4	3	1	2										0												0	0	2	10		0					2	20	10	22	37	39	52	73	35	22	24	25	15	11	13	4		2																										2	8			0	6	5	1		1	2	2	2	0	4	8	6	25	16	28	52	30	18		2	8	2	3																						0	3		1	0	3	3	0		0	4	17	10	53	103	113	133	120	89	98	79	55	40	45	33	4	12	25	15	8									2	2																1	0	0				0	0			0	2	0		4	0	3	5	3	6	3	4	4	3	4	1	1	0	2	0																						0	1			0	0	7	0	3		
C™te d'Ivoire	6	9	1	1	5	4	3	1	1	2	2	19	5	3	0	1	0	0	2	9	8	4	10	3	10	13	1	1	2	0	0	1	8		1	2	0	2	2	4	3		6	31	13	8	3	4					0	0	1	0	0	0	4	1	0											0	3	1	7	9	8	3	18	12	13	1	6	4	24	16	15	22	41	48	23	20	32	42	18	10	15								7	8	15	5	1	7	18	10	3	6	15	5	1	2	1	11	5	10	0	6	6	2	6	7	2	4	7	4	7	5	4	3	1	3	0	1	2	0	0	1	8	7	9	3	9	6	2	9	0	3	3	1	0	0	1	3	0	0	2	5	2	0	4	2	1	1	1	4	5	2	3	4	3	12	3	18	11	15	7	5	15	10	10	9	12	13	8	5	11	9	9	9	5	10	7	6	10	18	12	4	16	17	7	5	3	3	6	1	4	7	1	10	0	0	0	0	0	0	1	0	1	2	1	2	5	2	13	10	12	15	3	10	18	11	1	2	3	3	5	6	2	0	2	5	4	2	0	0	2	4	8	4				
Democratic Republic of the Congo	0	0	1	7	9	10	10	7	13	15	8	13	24	7	10	16	16	17	20	15	7	7	2	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	4	3	3	9	5	8	6	11	11	7	7	11	7	7	5	9	8	4	4	6	3	1	9	2	11	12	7	2	2	0	2	3	0	0	0	0	1	0	0	0	1	2	2	1	1	3	4								8	19	4	2	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	6	7	10	17	21	6	0	6	7	10	9	9	10	12	12	11	11	2	6	4	4	1	17	5	6	10	4	1	5	0	3	3	5	4	5	0	0	0	0	0	2	0	3	2	0	0	3	2	2	1	0	1	1	1	6	14	12	5	6	18	10	19	7	9	9	6	6	8	2	4	9	9	10	8	4	3	5	2	1	7	7	4	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0				
Denmark	8	2	3	4	6	1	2	2	0	3	3	5	2	2	3	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	5	8	19	23	70	114	127	98	72	119	81	50	33	23	12	28	13	5	2	2	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0			0			0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	6	7	12	16	19	15	11	2	1	2	3	2	2	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	1	0	1	1	3	9	6	5	11	18	50	113	245	395	205	193	246	334	278	287	260	228	161	124	113	77	65	40	18	6	4	5	1	0	0	1	0	4	0	4	1	0	1	0	0	0	0	0	0	0	0	0	2	1	2	2	3	3	1	1	2	1	3	10	11	13	4	13	20	47	96	170	185	154	126	79	74	47	31	14	14	7	8	8	21	4	1	1	0	0	1	1	1	1	2	3	0	1	0	1	0	3	2	2	1	0	3	4	0	0	2	3	1	1	0		
Dominican Republic	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	1	7	4	3	10	9	7	13	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	5	11	2	5	6	8	4	2	0	5	8	15	11	10	18	12	2	6	5	3	3	3	2	4	6	0	5	4	6	0	0	2	0	0	3	0	0	2	3	0	0	0	0	0	0	0	0	3	1	1	0	5	0	3	10	5	7	16	9	2	16	11	2	0	0	12	1	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	1	2	2	1	2	1	0	1	0	0	0	0	2	1	1	2	3	2	2	0	2	3	3	4	7	6	9	6	7	7	28	23	18	12	4	3	8	15	6	3	5	2	5	1	3	1	2	0	4	2	1	3	3	1	4	0	1	2	3	1	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	3	3	2	3	1	0	0	1	0	0	0	0	1	1	1	0	1	1	0	2	3	2	0	1	4	0	0	0	0	0		
Ecuador	18	22	40	37	44	36	31	37	25	28	15	6	2	4	2	1	4	3	0	5	2	1	4	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0							0	0	0	0	8	36	41	222	170	95	56	56	47	22	21	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	2	2	2	1	3	4	5	9	12	19	16	21	28	22	12	13	18	13	10	20	6	9	5	13	5	4	6	1	4	3	7	7	16	12	12	19	15	16	19	13	8	6	1	2	1	3	5	2	1	4	4	1	1	0	0	0	0	3	2	3	1	3	10	2	9	6	7	5	8	11	12	9	15	16	23	34	33	32	22	17	17	11	8	8	3	10	11	16	6	5	23	59	68	108	118	99	87	55	48	47	34	25	11	12	13	25	11	9	7	13	11	10	6	8	1	6	4	0	0	0	1	1	0	0	2	0	0	1	2	0	0	1	0	1	2	3	8	6	8	4	3	10	3	9	13	19	9	8	6	4	7	5	8	3	1	3	3	2	3	2	3	3	4	8			
Egypt	739	396	192	80	56	47	32	16	8	8	3	5	6	3	2	2	2	9	2	1	0	9	8	8	7	6	6	4	14	7	5	2	4	1	6	0	0	0	0	3	7	19	14	16	19	20	36	64	88	152	372	522	495	285	158	68	2	17	0	5	3	2	4	3	4	2	1	1	0	1	1	1	0	3	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	4	7	2	0	6	10	27	11	25	34	26	37	39	19	6	13	20	9	3	13	5	3	7	9	4	14	5	16	7	8	19	17	17	20	13	11	9	14	4	2	8	4	1	0	0	1	1	3	0	2	3	4	2	6	11	10	17	6	8	18	28	58	57	31	61	62	26	33	29	19	23	21	16	13	19	11	17	17	27	16	32	23	36	28	24	20	23	18	5	11	8	9	10	5	5	8	6	2	1	2	9	7	10	4	8	7	5	6	10	16	23	17	20	21	30	38	45	35	48	27	43	67	80	63	154	267	203	154	78	59	29	13	13	9	23	8	63	85	50	48	20	41	31	28	14	14	26	18	4	13	23	16	14	10	13	10	8	9	4	3	15	18	2	12	13	7					
El Salvador	3	0	0	1	0	0	0	1	0	3	0	2	0	0	2	2	0	2	0	0	4	7	12	12	10	13	25	29	44	25	28	8	38	19	8	8	3	2	1	4	0	5	5	0	0	0	0	0	0	0			5	6	0	0	0	0	0	0	0	0	2	0	0	2	0	1	2	7	0	12	12	5	16	14	7	3	1	0	0	5	0	0	0	1	2	7	20	9	12	12	6	11	5	6	3	2	1	1	1	0	0	0	0	0	1	1	0	7	0	2	2	1	0	2	7	1	3	3	4	13	5	11	10	30	24	30	19	22	35	26	31	1	9	6	7	9	14	19	10	13	9	6	3	5	4	2	4	1	0	0	1	0	0	0	0	0	1	0	0	4	5	0	2	2	5	1	0	5	3	3	3	4	6	6	6	13	12	12	12	7	7	7	4	1	7	2	2	0	1	0	1	5	3	5	1	2	7	8	7	2	4	5	17	3	11	5	0	3	0	0	0	3	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	1	4	3	8	5	13	6	6	3	3	0	0	1	0	0	0	2	0	0	1	0	0	1	1	0	3	0	1			
Estonia	41	34	25	9	12	15	2	2	2	2	1	1	1	1	1	2	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	4	3	10	4	24	93	150	167	124	110	75	41	56	29	19	10	14	19	7	5	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	3	11	34	21	46	48	60	39	37	27	29	16	16	11	4	5	4	3		0		0		0		0		0		0		1		0		0	0	0	0	0	0	1	3	7	4	1	4	4		5	17	35	65	82	112	80	45	69	53	35	29	21	26	6	3	3	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	6	6	24	59	74	44	53	32	30	8	26	10	10	4	6	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Ethiopia	0	2	7	1	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0							3	0	0	0	0	0	0	0	0	5	7	6	8	14	5	2	5	1	0	3	4	2	2	2	0	0	4	4	2	0	0	0	2	0	0	1	3	2	5	10	6	6	18	0	21	18	10	8	3	3	6	7	0	1	2	2	2	4	0	0	8	15	15	21	17	7	13	0	8	1	0	11	0	6	0	2	0	5	3	2	1	5	0	3	1	0	0	5	10	3	7	5	7	6	12	7	4	8	18	25	10	0			17	11	6	3	3	0	11	0	0	7	3																																									
Fiji	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	1	4	8	8	6	0	1	1	2	6	3	1	1	1	0	0	1	0		0	0	0	0	0	0	0	0	0	16	3	0	0	0	0	0	0	0	4	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0		0	0		0	0	0	0					1			0	1		2			1	5		0	1	0																					0	0	1	0	1	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																				
Finland	1	1	0																																		0	0	0	0	0	0	0	0	0	0	1	6	13	61	28	11	12	27	63	51	39	44	16	21	27	10	5	2	3	3	3		0	0	0	0	0	0	0	0					0	0	0	0	0	0		0	0	0	0		0	0	1	0	0	0	0	0	0	0	0	1	0	4	17	15	31	30	47	24	26	13	5	4	2	2	1	1	6	1	1	1	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	3	2	3	3	16	17	39	25	33	40	23	30	6	5	5	2	1	1	0	1	0	0	0	0	0											0		0	0	0	0	0	1	1	0	0	0	0	0	4	0	5	1		1	1	4	7	9	17	17	12	10	4	2	2	1	2	0	1	3	7	4	0	0	0		0									0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	4	1	1		
France	280	157	108	57	41	25	22	9	12	9	6	1	4	4	3	2	4	0	4	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	2	2	1	2	4	3	9	11	15	32	64	123	187	295	498	790	858	761	830	879	814	638	402	223	130	73	53	31	16	7	5	2	2	2	1	4	1	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	1	3	2	2	0	3	1	2	6	5	1	8	24	38	25	44	113	170	223	296	476	709	947	1012	640	458	332	232	135	113	65	44	19	14	4	5	8	2	5	3	0	3	4	1	1	0	0	0	0	0	0	1	2	5	2	3	8	10	11	18	12	18	24	68	112	215	346	373	412	599	990	1245	1354	1332	1124	972	753	385	263	160	84	92	43	29	9	3	14	5	0	1	2	2	1	1	0	0	0	0	0	1	0	0	0	2	3	2	0	1	1	14	25	24	4	6	8	18	43	81	116	172	160	230	349	488	612	583	478	480	336	240	158	67	55	52	24	18	9	6	5	3	7	5	3	4	1	3	2	1	1	1					0	1	1	0	4	5	8	15	6	1	5	11	20	16	50	86	
French Guiana	1	2	11	3	5	2	1	0	4	2	0	0	1	0	0	2	1	2	0	0	2	1	4	5	1	5	1	7	4	2	2	1	2	1	3	4	1	7	4	4	0	2	0	1	3	0	0	0	1	0	0	6	0	2	1	0	0	6	0	2	3	1	2	1	5	1	2	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	0	3	4	7	14	21	28	22	10	5	13	2	4	11	3	5	6	6	6	3	4	1	2	3	1	1	1	0	2	2	1	1	3	1	4	1	0	1	1	2	1	4	3	3	2	1	0	2	1	5	6	3	5	10	18	5	10	9	12	6	18	12	8	5	12	15	8	5	9	7	0	2	0	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	4	11	10	24	10	14	8	7	10	2	3	4	1	6	3	2	0	2	2	1	2	1	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
